bgrp,IBuff_Pop,SBuff_Pop,Buff_Pop,Buff_Pct,Lane_PctSB,Lane_PctIB
420034090004,925,203,1128,49.1100006104,27.5699996948,72.4300003052
420034100001,80,395,475,40.5600013733,96.9000015259,3.09999990463
420034110001,561,129,690,63.2400016785,37.5099983215,62.4900016785
420034110002,874,929,1803,68.6600036621,70.6299972534,29.3700008392
420034110003,634,596,1230,38.4599990845,62.3499984741,37.6500015259
420034120011,981,584,1565,58.6599998474,52.1199989319,47.8800010681
420034120012,936,357,1293,71.9899978638,67.8300018311,32.1699981689
420034120013,746,388,1134,66.3899993896,40.5400009155,59.4599990845
420034120014,614,706,1320,54.25,68.8899993896,31.1100006104
420034120021,1157,964,2121,72.4100036621,53.0099983215,46.9900016785
420034120022,503,504,1007,52.0099983215,69.8700027466,30.1299991608
420034131001,129,469,598,46.4599990845,90.1900024414,9.81000041962
420034131002,35,194,229,11.470000267,0.0,0.0
420034131003,551,138,689,48.25,31.8299999237,68.1699981689
420034131004,382,85,467,24.6200008392,38.0600013733,61.9399986267
420034132011,378,113,491,62.3100013733,62.9000015259,37.0999984741
420034132012,478,384,862,65.5,66.8499984741,33.1500015259
420034132013,640,368,1008,61.7299995422,52.2900009155,47.7099990845
420034132021,465,266,731,66.9400024414,72.0699996948,27.9300003052
420034132022,273,547,820,46.2200012207,82.4300003052,17.5699996948
420034133001,714,145,859,51.0400009155,32.3699989319,67.6299972534
420034133002,380,407,787,33.25,63.2599983215,36.7400016785
420034133003,26,303,329,47.5400009155,96.7099990845,3.28999996185
420034134001,357,604,961,62.0800018311,69.5,30.5
420034134002,502,303,805,67.1399993896,52.5600013733,47.4399986267
420034134003,149,266,415,26.0699996948,83.8600006104,16.1399993896
420034135001,299,328,627,71.9000015259,68.5699996948,31.4300003052
420034135002,629,935,1564,73.8799972534,63.6100006104,36.3899993896
420034135003,265,370,635,46.2200012207,57.5800018311,42.4199981689
420034135004,785,401,1186,65.8499984741,54.8899993896,45.1100006104
420034141011,482,334,816,38.2000007629,38.8400001526,61.1599998474
420034141012,340,341,681,56.2299995422,79.4899978638,20.5100002289
420034141013,560,101,661,80.1200027466,41.9000015259,58.0999984741
420034141014,355,437,792,66.7799987793,73.1699981689,26.8299999237
420034141021,809,524,1333,50.3600006104,55.5600013733,44.4399986267
420034141022,248,420,668,26.8400001526,73.1999969482,26.7999992371
420034141023,160,279,439,23.0599994659,68.5599975586,31.4400005341
420034142001,796,678,1474,45.75,73.9499969482,26.0499992371
420034142002,417,309,726,74.7699966431,58.1399993896,41.8600006104
420034142003,210,471,681,38.4300003052,87.4599990845,12.5399999619
420034150011,504,283,787,70.9000015259,77.4000015259,22.6000003815
420034150012,497,440,937,62.2200012207,63.8800010681,36.1199989319
420034150013,287,364,651,31.1599998474,81.3799972534,18.6200008392
420034150021,575,473,1048,71.4400024414,83.25,16.75
420034150022,562,326,888,82.3700027466,70.0,30.0
420034160001,699,121,820,91.9300003052,27.4799995422,72.5199966431
420034160002,19,11,30,4.03000020981,66.6100006104,33.3899993896
420034171001,458,102,560,67.6299972534,20.0900001526,79.9100036621
420034171002,524,83,607,86.0999984741,21.6599998474,78.3399963379
420034171003,57,34,91,14.8699998856,58.1300010681,41.8699989319
420034172001,1018,28,1046,83.0199966431,21.3600006104,78.6399993896
420034180001,1155,219,1374,78.6900024414,18.0300006866,81.9700012207
420034190001,801,158,959,86.7900009155,50.4000015259,49.5999984741
420034190002,530,48,578,79.1800003052,23.2099990845,76.7900009155
420034190003,310,256,566,52.1199989319,75.4700012207,24.5300006866
420034200001,1161,98,1259,87.9199981689,5.86000013351,94.1399993896
420034211001,206,470,676,63.3600006104,82.8700027466,17.1299991608
420034211002,331,375,706,83.5500030518,72.9300003052,27.0699996948
420034211003,400,350,750,48.5099983215,49.2200012207,50.7799987793
420034211004,94,410,504,78.1399993896,64.6100006104,35.3899993896
420034212001,528,513,1041,53.1399993896,70.7200012207,29.2800006866
420034212002,287,465,752,69.1800003052,71.3300018311,28.6700000763
420034212003,79,108,187,75.7099990845,53.9199981689,46.0800018311
420034212004,356,383,739,73.6800003052,79.7399978638,20.2600002289
420034220001,174,667,841,48.0,97.0999984741,2.90000009537
420034220002,71,363,434,57.4099998474,92.9199981689,7.07999992371
420034220003,93,305,398,38.0499992371,94.5400009155,5.46000003815
420034220004,214,380,594,32.3899993896,91.6399993896,8.35999965668
420034230001,172,454,626,65.3399963379,72.2399978638,27.7600002289
420034230002,739,250,989,99.3000030518,42.1100006104,57.8899993896
420034230003,582,265,847,100.0,40.3400001526,59.6599998474
420034240001,923,8,931,99.4700012207,62.3300018311,37.6699981689
420034240002,420,10,430,64.7600021362,14.25,85.75
420034240003,644,2,646,86.25,10.8199996948,89.1800003052
420034240004,1044,0,1044,95.1699981689,61.8400001526,38.1599998474
420034250001,491,24,515,93.4700012207,36.4599990845,63.5400009155
420034250002,450,63,513,53.5499992371,16.5900001526,83.4100036621
420034250003,944,94,1038,94.0199966431,32.1100006104,67.8899993896
420034250004,651,173,824,99.4000015259,36.4399986267,63.5600013733
420034263001,811,614,1425,90.25,55.8800010681,44.1199989319
420034263002,379,660,1039,49.8600006104,81.0299987793,18.9699993134
420034263003,123,345,468,19.7099990845,85.0699996948,14.9300003052
420034264001,522,199,721,78.8799972534,40.1399993896,59.8600006104
420034264002,661,280,941,89.0299987793,46.3100013733,53.6899986267
420034264003,604,431,1035,96.9100036621,71.8899993896,28.1100006104
420034264004,797,550,1347,87.3499984741,58.3699989319,41.6300010681
420034267001,133,182,315,45.1899986267,65.5800018311,34.4199981689
420034267002,901,623,1524,91.5899963379,52.3800010681,47.6199989319
420034268001,391,206,597,44.8899993896,62.6199989319,37.3800010681
420034268002,180,117,297,11.8599996567,35.3800010681,64.6200027466
420034268003,160,133,293,19.1000003815,59.5099983215,40.4900016785
420034270001,1211,72,1283,88.9100036621,23.0400009155,76.9599990845
420034270002,812,7,819,97.7300033569,34.5999984741,65.4000015259
420034270003,1463,0,1463,100.0,5.84999990463,94.1500015259
420034271001,252,228,480,28.0,71.9499969482,28.0499992371
420034271002,367,807,1174,65.6200027466,80.3199996948,19.6800003052
420034271003,196,835,1031,51.3699989319,91.1699981689,8.82999992371
420034272001,196,74,270,21.4099998474,0.0,0.0
420034272002,363,303,666,55.6399993896,56.4799995422,43.5200004578
420034272003,464,468,932,73.0999984741,57.8699989319,42.1300010681
420034272004,424,115,539,46.2299995422,35.2700004578,64.7300033569
420034281001,16,95,111,17.5599994659,0.0,0.0
420034281002,0,331,331,55.7200012207,0.0,0.0
420034282001,344,135,479,74.8399963379,71.9300003052,28.0699996948
420034282002,572,323,895,61.6800003052,61.8300018311,38.1699981689
420034291001,730,263,993,88.1100006104,48.7999992371,51.2000007629
420034291002,825,250,1075,77.9000015259,55.7900009155,44.2099990845
420034292011,238,726,964,51.0099983215,68.7699966431,31.2299995422
420034292012,597,166,763,31.5300006866,18.6100006104,81.3899993896
420034292021,447,486,933,76.7900009155,76.9499969482,23.0499992371
420034292022,262,675,937,69.6100006104,75.3700027466,24.6299991608
420034292023,551,641,1192,66.0800018311,54.3699989319,45.6300010681
420034293001,724,417,1141,58.1300010681,74.2399978638,25.7600002289
420034293002,702,376,1078,76.2900009155,68.5,31.5
