bgrp,IWDP_Pop,BWDP_Pop,IWDP_Pct,BWDP_Pct
420034508003,0,707,0.0,100.0
420034511011,0,2009,0.0,100.0
420034511012,0,1630,0.0,100.0
420034511021,847,1024,45.2700004578,54.7299995422
420034511022,152,799,15.9799995422,84.0199966431
420034511023,805,2000,28.7000007629,71.3000030518
420034511041,794,2144,27.0300006866,72.9700012207
420034511042,182,470,27.9099998474,72.0899963379
420034511051,0,1450,0.0,100.0
420034511052,0,908,0.0,100.0
420034511053,11,1827,0.600000023842,99.4000015259
420034513001,42,3424,1.21000003815,98.7900009155
420034513002,0,1341,0.0,100.0
420034513003,142,1299,9.85000038147,90.1500015259
420034513004,52,833,5.88000011444,94.1200027466
420034520002,867,877,49.7099990845,50.2900009155
420034520003,341,1219,21.8600006104,78.1399993896
420034530032,0,617,0.0,100.0
420034530041,0,1873,0.0,100.0
420034530042,0,1944,0.0,100.0
420034530043,0,2353,0.0,100.0
420034530044,0,785,0.0,100.0
420034550001,1165,294,79.8499984741,20.1499996185
420034560011,92,860,9.65999984741,90.3399963379
420034560012,155,2416,6.03000020981,93.9700012207
420034560031,83,804,9.35999965668,90.6399993896
420034560032,259,2683,8.80000019073,91.1999969482
420034560033,77,2195,3.3900001049,96.6100006104
420034560041,447,1279,25.8999996185,74.0999984741
420034560042,1067,1999,34.7999992371,65.1999969482
420034571001,99,664,12.9799995422,87.0199966431
420034571002,606,59,91.1299972534,8.86999988556
420034572001,117,474,19.7999992371,80.1999969482
420034572002,616,231,72.7300033569,27.2700004578
420034572003,874,504,63.4300003052,36.5699996948
420034572004,868,36,96.0199966431,3.98000001907
420034580001,484,150,76.3399963379,23.6599998474
420034580002,615,2791,18.0599994659,81.9400024414
420034580003,240,1500,13.7899999619,86.2099990845
420034580004,0,1300,0.0,100.0
420034591011,297,1411,17.3899993896,82.6100006104
420034591021,120,1963,5.76000022888,94.2399978638
420034591022,78,912,7.88000011444,92.1200027466
420034591023,29,2556,1.12000000477,98.8799972534
420034592011,0,1643,0.0,100.0
420034592012,126,1871,6.30999994278,93.6900024414
420034592013,44,1721,2.49000000954,97.5100021362
420034592014,5,578,0.860000014305,99.1399993896
420034592021,0,661,0.0,100.0
420034600011,196,2417,7.5,92.5
420034600012,0,1637,0.0,100.0
420034600021,168,473,26.2099990845,73.7900009155
420034600022,241,1754,12.0799999237,87.9199981689
420034600023,0,786,0.0,100.0
